0.105

17 -3.902000 -3.178000 1.650000 1.570796 0-1.5708
16 -3.065000 -4.474000 1.650000 1.570796 0 3.14159
15 -7.694000 -2.223000 2.208000 1.570796 0 3.14159
14 -2.620000 -4.091000 2.215000 1.570796 0 3.14159
13 -2.110000 -3.967000 1.510000 1.570796 0 -1.5708
12 -3.128000 0.720000 1.830000 1.570796 0 0
11 -3.338000 -3.071000 1.990000 1.570796 0 3.14159
10 -1.614000 -4.29500 1.800000 1.570796 0 0
9 -1.435000 -8.478000 1.800000 1.570796 0 3.14159
8 0.294000 -5.820000 1.872000 1.570796 0 -1.5708
7 -2.101000 -1.051000 1.5870000 1.570796 0 -1.5708
6 -3.535000 -3.062000 1.400000 1.570796 0 3.14159
5 -1.512600 -0.691000 1.700000 1.570796 0 3.14159
4 -4.549000 0.727000 1.700000 1.570796 0 0
3 -2.103000 -1.589000 2.006000 1.570796 0 -1.5708
2 -3.304000 -4.474000 1.650000 1.570796 0 -1.5708
1 -2.583000 -8.289000 0.740000 0.940796 0 3.14159
0 -3.817000 0.700000 1.120000 1.570796 0  0

#0.63
#-1.5708
#3.14159
#x e y cambiados????
